id,owner_id,fish_type_id,length,points,date
1,3,14,18,18,2024-03-02T11:57:58.817Z
2,3,14,18,18,2024-03-02T11:58:03.529Z
3,3,14,14,7,2024-03-02T12:42:16.352Z
4,3,14,12,6,2024-03-02T12:42:20.642Z
5,3,14,12,6,2024-03-02T12:42:26.218Z
6,3,14,15,15,2024-03-02T12:51:25.039Z
7,3,14,14,7,2024-03-02T13:56:44.830Z
8,3,14,18,18,2024-03-02T15:28:53.087Z
9,3,14,13,6.5,2024-03-02T15:28:58.255Z
10,3,14,15,15,2024-03-02T15:54:23.315Z
11,3,14,18,18,2024-03-02T16:12:06.717Z
12,3,14,14,7,2024-03-03T10:07:36.780Z
13,4,14,13,6.5,2024-03-03T12:21:08.564Z
14,3,14,15,15,2024-03-03T12:21:10.583Z
15,3,14,13,6.5,2024-03-03T12:35:13.789Z
16,2,14,16,16,2024-03-03T12:35:35.410Z
17,4,14,15,15,2024-03-03T12:42:37.985Z
18,4,14,15,15,2024-03-03T12:57:35.803Z
19,4,14,13,6.5,2024-03-03T13:20:49.153Z
20,2,14,13,6.5,2024-03-03T13:27:45.252Z
21,3,14,18,18,2024-03-03T13:45:19.426Z
22,4,14,12,6,2024-03-03T13:51:38.806Z
23,2,14,19,19,2024-03-03T13:55:42.849Z
24,2,3,18,9,2024-03-03T14:00:02.591Z
25,2,14,16,16,2024-03-03T14:50:11.011Z
26,2,14,14,7,2024-03-09T09:13:39.674Z
27,2,14,18,18,2024-03-09T10:13:58.770Z
28,2,14,15,15,2024-03-09T11:08:40.724Z
29,2,14,14,7,2024-03-09T11:41:36.229Z
30,4,14,15,15,2024-03-09T12:05:01.599Z
31,2,14,15,15,2024-03-09T12:22:34.880Z
32,4,14,13,6.5,2024-03-09T14:25:53.332Z
33,4,2,22,22,2024-03-17T10:20:15.313Z
34,4,2,18,9,2024-03-17T12:09:27.772Z
35,3,9,17,0,2024-03-17T12:35:31.011Z
37,4,2,15,7.5,2024-03-17T17:06:33.052Z
38,2,3,9,0,2024-03-21T17:51:42.492Z
39,2,3,20,20,2024-03-21T17:52:29.723Z
40,4,2,18,9,2024-03-25T17:37:45.167Z
41,3,14,14,7,2024-03-30T10:32:32.267Z
42,3,14,13,6.5,2024-03-30T10:32:37.498Z
43,4,14,14,7,2024-03-30T10:39:36.308Z
44,4,14,14,7,2024-03-30T10:39:41.775Z
45,4,14,13,6.5,2024-03-30T10:39:46.651Z
46,5,14,14,7,2024-03-30T11:01:58.696Z
47,5,14,18,18,2024-03-30T11:02:04.010Z
48,5,14,14,7,2024-03-30T11:02:09.129Z
49,5,14,12,6,2024-03-30T11:02:18.150Z
50,5,14,14,7,2024-03-30T11:02:23.412Z
51,5,14,15,15,2024-03-30T11:02:29.519Z
52,5,14,16,16,2024-03-30T11:02:40.161Z
53,5,14,14,7,2024-03-30T11:02:44.769Z
54,5,14,11,5.5,2024-03-30T11:02:49.067Z
55,2,17,15,15,2024-03-30T11:03:34.920Z
56,5,14,12,6,2024-03-30T11:17:51.016Z
57,3,14,15,15,2024-03-30T11:26:08.481Z
58,4,14,12,6,2024-03-30T12:30:11.303Z
59,4,14,12,6,2024-03-30T12:59:32.967Z
60,4,14,12,6,2024-03-30T14:04:20.902Z
61,4,14,14,7,2024-04-06T19:46:38.521Z
62,3,14,15,15,2024-04-06T19:47:03.389Z
63,4,14,15,15,2024-04-06T20:27:13.924Z
64,3,14,15,15,2024-04-06T20:54:37.213Z
65,4,14,17,17,2024-04-06T21:50:21.795Z
66,3,5,58,87,2024-04-13T06:48:28.562Z
67,4,12,45,45,2024-04-13T06:57:22.992Z
68,2,9,29,29,2024-04-13T09:29:00.289Z
69,4,5,33,33,2024-04-13T09:39:21.605Z
70,3,5,51,76.5,2024-04-14T14:58:04.451Z
71,4,12,45,45,2024-04-14T17:48:28.904Z
72,4,9,38,57,2024-04-23T15:58:49.133Z
73,4,9,20,10,2024-04-23T15:59:07.773Z
74,4,7,38,38,2024-04-23T15:59:14.441Z
75,3,5,35,35,2024-04-23T16:07:00.941Z
76,3,5,40,40,2024-04-23T16:30:51.309Z
77,3,9,20,10,2024-05-01T06:48:51.644Z
78,4,9,36,36,2024-05-01T07:41:33.824Z
79,3,2,18,9,2024-05-01T08:40:28.787Z
80,4,5,31,31,2024-05-01T09:28:13.986Z
81,3,7,53,79.5,2024-05-03T15:29:39.522Z
82,3,5,21,0,2024-05-03T15:47:01.610Z
83,4,17,12,6,2024-05-03T19:24:57.861Z
